flux_campaign,day,Date,time,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
6,day_2,20/04/2014,8:04:20 AM,141,13,150.5,440.5224,4.985195,20.00289,400,419.9156,76.36356,201.1233,100,453.5816,5.018218,-10.39005
6,day_2,20/04/2014,8:04:40 AM,142,14,150.5,481.0015,5.436991,20.00386,399.9996,419.1056,93.86579,201.1481,100,494.7066,5.468227,-11.29012
6,day_2,20/04/2014,8:05:00 AM,143,15,150.5,452.0255,5.114487,19.99943,400.0004,419.451,84.02498,201.1561,100,465.2629,5.146908,-10.49522
6,day_2,20/04/2014,8:05:20 AM,144,16,150.5,473.8296,5.357056,19.99692,400.0014,418.9665,92.85505,201.3648,100,487.4162,5.388521,-11.12924
6,day_2,20/04/2014,8:05:40 AM,145,17,150.5,438.1327,4.958823,19.99728,400.0027,418.8397,94.27487,201.0948,100,451.1441,4.991831,-10.27504
6,day_2,20/04/2014,8:06:00 AM,146,18,150.5,483.7332,5.462216,19.9967,399.9993,419.0816,86.8623,201.0878,100,497.4876,5.493408,-12.28986
6,day_2,20/04/2014,8:06:20 AM,147,5,150.5,445.1922,5.038018,19.9991,400.0008,419.1299,84.68842,201.0635,100,458.2909,5.070469,-10.36076
6,day_2,20/04/2014,8:06:40 AM,148,6,150.5,476.3884,5.38363,19.99878,400.0011,419.9303,64.95427,201.0704,100,490.0255,5.415152,-11.53384
6,day_2,20/04/2014,8:07:00 AM,149,9,150.5,448.4463,5.073538,19.99642,399.9997,419.1902,79.52737,201.0633,100,461.6536,5.106436,-10.60067
6,day_2,20/04/2014,8:07:20 AM,150,10,150.5,478.5428,5.408787,20.00312,399.9991,419.9081,62.761,201.0212,100,492.2098,5.440116,-11.38339
6,day_2,20/04/2014,8:07:40 AM,151,11,150.5,439.4301,4.97268,20.00423,399.9992,418.3169,101.6609,201.0099,100,452.494,5.005985,-10.42998
6,day_2,20/04/2014,8:08:00 AM,152,12,150.5,462.9481,5.232418,20.00436,400.0009,418.3037,100.0329,201.0639,100,476.3784,5.264575,-11.48967
6,day_2,20/04/2014,8:08:20 AM,153,13,150.5,443.8631,5.021683,19.99991,400.0008,419.3429,76.43189,200.9265,100,456.976,5.054559,-10.62749
6,day_2,20/04/2014,8:08:40 AM,154,14,150.5,471.5462,5.331103,19.99961,400.0019,418.6129,93.84528,200.9244,100,485.0996,5.362731,-11.16236
6,day_2,20/04/2014,8:09:00 AM,155,15,150.5,448.6451,5.075738,19.99666,400.0923,419.0096,83.99274,201.0018,100,461.8672,5.108717,-10.61647
6,day_2,20/04/2014,8:09:20 AM,156,16,150.5,470.8079,5.322135,19.99525,400.0003,418.5397,92.90077,201.1564,100,484.3508,5.353804,-11.28221
6,day_2,20/04/2014,8:09:40 AM,157,3,150.5,756.0386,8.319026,20.00302,400.0106,436.284,129.4967,200.6599,100,774.1105,8.338495,-36.4936
6,day_2,20/04/2014,8:10:00 AM,158,4,150.5,311.8435,3.440634,19.99458,400.0043,437.8508,140.2423,200.953,100,322.8609,3.479932,-35.89287
6,day_2,20/04/2014,8:10:20 AM,159,17,150.5,437.9326,4.954942,20.00015,399.9933,420.7108,94.32219,200.8576,100,450.576,4.984726,-10.43763
6,day_2,20/04/2014,8:10:40 AM,160,18,150.5,471.9328,5.329216,20.00189,400.0005,419.8272,86.90757,200.8389,100,485.0837,5.357265,-12.13772
6,day_2,20/04/2014,8:11:00 AM,161,5,150.5,439.6698,4.974258,19.999,400.0005,419.3739,84.74744,200.794,100,452.3332,5.003861,-10.49804
