flux_campaign,day,Date,TIMESTAMP,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,2,23/02/2014,7:28:20 AM,135,17,150.5,406.9624,4.581471,20.00304,399.9969,442.9079,100.0871,195.9476,100,416.6961,4.614902,-9.366529
4,2,23/02/2014,7:28:40 AM,136,18,150.5,448.9764,5.044573,20.00205,400.0002,443,91.93737,195.9951,100,458.9909,5.075539,-10.88211
4,2,23/02/2014,7:29:00 AM,137,5,150.5,402.0323,4.525889,19.99802,399.9995,442.911,90.32036,195.9237,100,411.7173,4.559458,-9.432549
4,2,23/02/2014,7:29:20 AM,138,6,150.5,428.687,4.819878,19.99931,400.0011,443.7393,70.08987,195.9495,100,438.5515,4.85198,-10.38019
4,2,23/02/2014,7:29:40 AM,139,9,150.5,402.9049,4.535576,19.99809,399.9994,443.0316,84.39819,195.9024,100,412.5905,4.569014,-9.457294
4,2,23/02/2014,7:30:00 AM,140,10,150.5,453.6587,5.096419,19.99684,399.9989,444.4089,55.0595,195.9507,100,463.7144,5.127161,-11.00011
4,2,23/02/2014,7:30:20 AM,141,7,150.5,403.0693,4.537878,20.00176,399.9992,442.7492,87.11697,198.2784,100,412.7645,4.571414,-9.354652
4,2,23/02/2014,7:30:40 AM,142,8,150.5,443.1432,4.9797,19.99794,399.9995,443.3513,74.36752,197.1188,100,453.1197,5.011013,-10.80373
4,2,23/02/2014,7:31:00 AM,143,11,150.5,407.4857,4.586235,20.00143,400.0007,441.8791,107.3022,195.9204,100,417.2019,4.619405,-9.602139
4,2,23/02/2014,7:31:20 AM,144,12,150.5,433.9276,4.877536,19.99666,400,441.9977,105.4047,195.9589,100,443.8337,4.909361,-10.5937
4,2,23/02/2014,7:31:40 AM,145,13,150.5,405.0359,4.559437,19.99876,399.9996,443.1082,81.42969,195.8806,100,414.7355,4.592775,-9.455853
4,2,23/02/2014,7:32:00 AM,146,14,150.5,429.7828,4.831676,20.0032,400.0003,442.3564,98.77288,195.9444,100,439.664,4.863711,-10.49773
4,2,23/02/2014,7:32:20 AM,147,17,150.5,403.4624,4.54243,19.99988,400,442.278,100.1247,195.9171,100,413.1752,4.576117,-9.321301
4,2,23/02/2014,7:32:40 AM,148,18,150.5,446.3193,5.015074,19.99915,400.0011,442.6411,91.94367,195.9688,100,456.3231,5.046206,-10.84914
4,2,23/02/2014,7:33:00 AM,149,5,150.5,402.7592,4.534827,20.00385,399.9993,442.6877,90.36562,195.8653,100,412.4448,4.5683,-9.262265
4,2,23/02/2014,7:33:20 AM,150,6,150.5,426.9912,4.800894,19.99939,400.0102,443.6064,70.13885,195.8834,100,436.8525,4.833038,-10.40986
4,2,23/02/2014,7:33:40 AM,151,9,150.5,409.0147,4.603627,20.00209,400,442.9464,84.38034,195.8874,100,418.7474,4.636774,-9.547338
4,2,23/02/2014,7:34:00 AM,152,10,150.5,451.0755,5.068731,20.00242,399.9989,444.3554,55.09935,195.8862,100,461.1075,5.099602,-10.75455
4,2,23/02/2014,7:34:20 AM,153,7,150.5,402.6468,4.533341,19.99926,400,442.6949,87.07774,198.2582,100,412.3285,4.566773,-9.31392
4,2,23/02/2014,7:34:40 AM,154,8,150.5,441.131,4.957473,20.00018,400.0014,443.3194,74.35307,197.1181,100,451.0922,4.988912,-10.73988
4,2,23/02/2014,7:35:00 AM,155,11,150.5,406.0127,4.570857,20.00442,399.9982,441.8592,107.2642,195.93,100,415.7192,4.604122,-9.358108
4,2,23/02/2014,7:35:20 AM,156,12,150.5,431.5858,4.852661,19.99794,400,441.9735,105.4112,195.9643,100,441.4776,4.884544,-10.34158
4,2,23/02/2014,7:35:40 AM,157,3,150.5,761.0309,8.316544,20.00409,400.0235,461.3672,140.0922,195.4967,100,773.3014,8.331799,-36.25961
4,2,23/02/2014,7:36:00 AM,158,4,150.5,313.4946,3.437699,19.99576,400.0027,462.6964,141.0152,195.7847,100,322.5359,3.476474,-35.88021
4,2,23/02/2014,7:36:20 AM,159,13,150.5,404.8277,4.557795,20.00093,399.9942,445.1508,81.42152,195.8412,100,414.6287,4.592354,-9.291218
4,2,23/02/2014,7:36:40 AM,160,14,150.5,427.624,4.808214,20.00259,399.9945,443.377,98.82468,195.9035,100,437.5799,4.841481,-10.32918
4,2,23/02/2014,7:37:00 AM,161,17,150.5,405.3785,4.563655,20.00411,399.9992,442.8248,100.1603,195.8731,100,415.1603,4.59794,-9.356122
4,2,23/02/2014,7:37:20 AM,162,18,150.5,442.998,4.978599,19.99934,399.9982,442.9162,91.98306,195.9483,100,453.0661,5.011127,-10.66407
4,2,23/02/2014,7:37:40 AM,163,5,150.5,405.1065,4.560217,19.99513,399.9991,442.8443,90.38509,195.8255,100,414.9013,4.594655,-9.446405
4,2,23/02/2014,7:38:00 AM,164,6,150.5,424.8575,4.778235,19.99888,399.9997,443.6768,70.13941,195.8295,100,434.7955,4.8116,-10.13845
